date,exchange_rate
2015-04-28,655.957
2015-04-29,655.957
2015-04-30,655.957
2015-05-01,655.957
2015-05-04,655.957
2015-05-05,655.957
2015-05-06,655.957
2015-05-07,655.957
2015-05-08,655.957
2015-05-11,655.957
2015-05-12,655.957
2015-05-13,655.957
2015-05-14,655.957
2015-05-15,655.957
2015-05-18,655.957
2015-05-19,655.957
2015-05-20,655.957
2015-05-21,655.957
2015-05-22,655.957
2015-05-25,655.957
2015-05-26,655.957
2015-05-27,655.957
2015-05-28,655.957
2015-05-29,655.957
2015-06-01,655.957
2015-06-02,655.957
2015-06-03,655.957
2015-06-04,655.957
2015-06-05,655.957
2015-06-08,655.957
2015-06-09,655.957
2015-06-10,655.957
2015-06-11,655.957
2015-06-12,655.957
2015-06-15,655.957
2015-06-16,655.957
2015-06-17,655.957
2015-06-18,655.957
2015-06-19,655.957
2015-06-22,655.957
2015-06-23,655.957
2015-06-24,655.957
2015-06-25,655.957
2015-06-26,655.957
2015-06-29,655.957
2015-06-30,655.957
2015-07-01,655.957
2015-07-02,655.957
2015-07-03,655.957
2015-07-06,655.957
2015-07-07,655.957
2015-07-08,655.957
2015-07-09,655.957
2015-07-10,655.957
2015-07-13,655.957
2015-07-14,655.957
2015-07-15,655.957
2015-07-16,655.957
2015-07-17,655.957
2015-07-20,655.957
2015-07-21,655.957
2015-07-22,655.957
2015-07-23,655.957
2015-07-24,655.957
2015-07-27,655.957
2015-07-28,655.957
2015-07-30,655.957
2015-07-31,655.957
2015-08-03,655.957
2015-08-04,655.957
2015-08-05,655.957
2015-08-06,655.957
2015-08-07,655.957
2015-08-10,655.957
2015-08-11,655.957
2015-08-12,655.957
2015-08-13,655.957
2015-08-14,655.957
2015-08-17,655.957
2015-08-18,655.957
2015-08-19,655.957
2015-08-20,655.957
2015-08-21,655.957
2015-08-24,655.957
2015-08-25,655.957
2015-08-26,655.957
2015-08-27,655.957
2015-08-28,655.957
2015-08-31,655.957
2015-09-01,655.957
2015-09-02,655.957
2015-09-03,655.957
2015-09-04,655.957
2015-09-07,655.957
2015-09-08,655.957
2015-09-09,655.957
2015-09-10,655.957
2015-09-11,655.957
2015-09-14,655.957
2015-09-15,655.957
2015-09-16,655.957
2015-09-17,655.957
2015-09-18,655.957
2015-09-21,655.957
2015-09-22,655.957
2015-09-23,655.957
2015-09-24,655.957
2015-09-25,655.957
2015-09-28,655.957
2015-09-29,655.957
2015-09-30,655.957
2015-10-01,655.957
2015-10-02,655.957
2015-10-05,655.957
2015-10-06,655.957
2015-10-07,655.957
2015-10-08,655.957
2015-10-09,655.957
2015-10-12,655.957
2015-10-13,655.957
2015-10-14,655.957
2015-10-15,655.957
2015-10-16,655.957
2015-10-19,655.957
2015-10-20,655.957
2015-10-21,655.957
2015-10-22,655.957
2015-10-23,655.957
2015-10-26,655.957
2015-10-27,655.957
2015-10-28,655.957
2015-10-29,655.957
2015-10-30,655.957
2015-11-02,655.957
2015-11-03,655.957
2015-11-04,655.957
2015-11-05,655.957
2015-11-06,655.957
2015-11-09,655.957
2015-11-10,655.957
2015-11-11,655.957
2015-11-12,655.957
2015-11-13,655.957
2015-11-16,655.957
2015-11-17,655.957
2015-11-18,655.957
2015-11-19,655.957
2015-11-20,655.957
2015-11-23,655.957
2015-11-24,655.957
2015-11-25,655.957
2015-11-26,655.957
2015-11-27,655.957
2015-11-30,655.957
2015-12-01,655.957
2015-12-02,655.957
2015-12-03,655.957
2015-12-04,655.957
2015-12-07,655.957
2015-12-08,655.957
2015-12-09,655.957
2015-12-10,655.957
2015-12-11,655.957
2015-12-14,655.957
2015-12-15,655.957
2015-12-16,655.957
2015-12-17,655.957
2015-12-18,655.957
2015-12-21,655.957
2015-12-22,655.957
2015-12-23,655.957
2015-12-24,655.957
2015-12-25,655.957
2015-12-28,655.957
2015-12-29,655.957
2015-12-30,655.957
2015-12-31,655.957
2016-01-01,655.957
2016-01-04,655.957
2016-01-05,655.957
2016-01-06,655.957
2016-01-07,655.957
2016-01-08,655.957
2016-01-11,655.957
2016-01-12,655.957
2016-01-13,655.957
2016-01-14,655.957
2016-01-15,655.957
2016-01-18,655.957
2016-01-19,655.957
2016-01-20,655.957
2016-01-21,655.957
2016-01-22,655.957
2016-01-25,655.957
2016-01-26,655.957
2016-01-27,655.957
2016-01-28,655.957
2016-01-29,655.957
2016-02-01,655.957
2016-02-02,655.957
2016-02-03,655.957
2016-02-04,655.957
2016-02-05,655.957
2016-02-08,655.957
2016-02-09,655.957
2016-02-10,655.957
2016-02-11,655.957
2016-02-12,655.957
2016-02-15,655.957
2016-02-16,655.957
2016-02-17,655.957
2016-02-18,655.957
2016-02-19,655.957
2016-02-22,655.957
2016-02-23,655.957
2016-02-24,655.957
2016-02-25,655.957
2016-02-26,655.957
2016-02-29,655.957
2016-03-01,655.957
2016-03-02,655.957
2016-03-03,655.957
2016-03-04,655.957
2016-03-07,655.957
2016-03-08,655.957
2016-03-09,655.957
2016-03-10,655.957
2016-03-11,655.957
2016-03-14,655.957
2016-03-15,655.957
2016-03-16,655.957
2016-03-17,655.957
2016-03-18,655.957
2016-03-21,655.957
2016-03-22,655.957
2016-03-23,655.957
2016-03-24,655.957
2016-03-25,655.957
2016-03-28,655.957
2016-03-29,655.957
2016-03-30,655.957
2016-03-31,655.957
2016-04-01,655.957
2016-04-04,655.957
2016-04-05,655.957
2016-04-06,655.957
2016-04-07,655.957
2016-04-08,655.957
2016-04-11,655.957
2016-04-12,655.957
2016-04-13,655.957
2016-04-14,655.957
2016-04-15,655.957
2016-04-19,655.957
2016-04-20,655.957
2016-04-21,655.957
2016-04-22,655.957
2016-04-25,655.957
2016-04-26,655.957
2016-04-27,655.957
2016-04-28,655.957
2016-04-29,655.957
2016-05-02,655.957
2016-05-03,655.957
2016-05-04,655.957
2016-05-05,655.957
2016-05-06,655.957
2016-05-09,655.957
2016-05-10,655.957
2016-05-11,655.957
2016-05-12,655.957
2016-05-13,655.957
2016-05-16,655.957
2016-05-17,655.957
2016-05-18,655.957
2016-05-19,655.957
2016-05-20,655.957
2016-05-23,655.957
2016-05-24,655.957
2016-05-25,655.957
2016-05-26,655.957
2016-05-27,655.957
2016-05-30,655.957
2016-05-31,655.957
2016-06-01,655.957
2016-06-02,655.957
2016-06-03,655.957
2016-06-06,655.957
2016-06-07,655.957
2016-06-08,655.957
2016-06-09,655.957
2016-06-10,655.957
2016-06-13,655.957
2016-06-14,655.957
2016-06-15,655.957
2016-06-16,655.957
2016-06-17,655.957
2016-06-20,655.957
2016-06-21,655.957
2016-06-22,655.957
2016-06-23,655.957
2016-06-24,655.957
2016-06-27,655.957
2016-06-28,655.957
2016-06-29,655.957
2016-06-30,655.957
2016-07-01,655.957
2016-07-04,655.957
2016-07-05,655.957
2016-07-06,655.957
2016-07-07,655.957
2016-07-08,655.957
2016-07-11,655.957
2016-07-12,655.957
2016-07-13,655.957
2016-07-14,655.957
2016-07-15,655.957
2016-07-18,655.957
2016-07-19,655.957
2016-07-20,655.957
2016-07-21,655.957
2016-07-22,655.957
2016-07-25,655.957
2016-07-26,655.957
2016-07-27,655.957
2016-07-28,655.957
2016-07-29,655.957
2016-08-01,655.957
2016-08-02,655.957
2016-08-03,655.957
2016-08-04,655.957
2016-08-05,655.957
2016-08-08,655.957
2016-08-09,655.957
2016-08-10,655.957
2016-08-11,655.957
2016-08-12,655.957
2016-08-15,655.957
2016-08-16,655.957
2016-08-17,655.957
2016-08-18,655.957
2016-08-19,655.957
2016-08-22,655.957
2016-08-23,655.957
2016-08-24,655.957
2016-08-25,655.957
2016-08-26,655.957
2016-08-29,655.957
2016-08-30,655.957
2016-08-31,655.957
2016-09-01,655.957
2016-09-02,655.957
2016-09-05,655.957
2016-09-06,655.957
2016-09-07,655.957
2016-09-08,655.957
2016-09-09,655.957
2016-09-12,655.957
2016-09-13,655.957
2016-09-14,655.957
2016-09-15,655.957
2016-09-16,655.957
2016-09-19,655.957
2016-09-20,655.957
2016-09-21,655.957
2016-09-22,655.957
2016-09-23,655.957
2016-09-26,655.957
2016-09-27,655.957
2016-09-28,655.957
2016-09-29,655.957
2016-09-30,655.957
2016-10-03,655.957
2016-10-04,655.957
2016-10-05,655.957
2016-10-06,655.957
2016-10-07,655.957
2016-10-10,655.957
2016-10-11,655.957
2016-10-12,655.957
2016-10-13,655.957
2016-10-14,655.957
2016-10-17,655.957
2016-10-18,655.957
2016-10-19,655.957
2016-10-20,655.957
2016-10-21,655.957
2016-10-24,655.957
2016-10-25,655.957
2016-10-26,655.957
2016-10-27,655.957
2016-10-28,655.957
2016-10-31,655.957
2016-11-01,655.957
2016-11-02,655.957
2016-11-03,655.957
2016-11-04,655.957
2016-11-07,655.957
2016-11-08,655.957
2016-11-09,655.957
2016-11-10,655.957
2016-11-11,655.957
2016-11-14,655.957
2016-11-15,655.957
2016-11-16,655.957
2016-11-17,655.957
2016-11-18,655.957
2016-11-21,655.957
2016-11-22,655.957
2016-11-23,655.957
2016-11-24,655.957
2016-11-25,655.957
2016-11-28,655.957
2016-11-29,655.957
2016-11-30,655.957
2016-12-01,655.957
2016-12-02,655.957
2016-12-05,655.957
2016-12-06,655.957
2016-12-07,655.957
2016-12-08,655.957
2016-12-09,655.957
2016-12-12,655.957
2016-12-13,655.957
2016-12-14,655.957
2016-12-15,655.957
2016-12-16,655.957
2016-12-19,655.957
2016-12-20,655.957
2016-12-21,655.957
2016-12-22,655.957
2016-12-23,655.957
2016-12-26,655.957
2016-12-27,655.957
2016-12-28,655.957
2016-12-29,655.957
2016-12-30,655.957
2017-01-02,655.957
2017-01-03,655.957
2017-01-04,655.957
2017-01-05,655.957
2017-01-06,655.957
2017-01-09,655.957
2017-01-10,655.957
2017-01-11,655.957
2017-01-12,655.957
2017-01-13,655.957
2017-01-16,655.957
2017-01-17,655.957
2017-01-18,655.957
2017-01-19,655.957
2017-01-20,655.957
2017-01-24,655.957
2017-01-25,655.957
2017-01-26,655.957
2017-01-27,655.957
2017-01-30,655.957
2017-01-31,655.957
2017-02-01,655.957
2017-02-02,655.957
2017-02-03,655.957
2017-02-06,655.957
2017-02-07,655.957
2017-02-08,655.957
2017-02-09,655.957
2017-02-10,655.957
2017-02-13,655.957
2017-02-14,655.957
2017-02-15,655.957
2017-02-16,655.957
2017-02-17,655.957
2017-02-20,655.957
2017-02-21,655.957
2017-02-22,655.957
2017-02-23,655.957
2017-02-24,655.957
2017-02-27,655.957
2017-02-28,655.957
2017-03-01,655.957
2017-03-02,655.957
2017-03-03,655.957
2017-03-06,655.957
2017-03-07,655.957
2017-03-08,655.957
2017-03-09,655.957
2017-03-10,655.957
2017-03-13,655.957
2017-03-14,655.957
2017-03-15,655.957
2017-03-16,655.957
2017-03-17,655.957
2017-03-20,655.957
2017-03-21,655.957
2017-03-22,655.957
2017-03-23,655.957
2017-03-24,655.957
2017-03-27,655.957
2017-03-28,655.957
2017-03-29,655.957
2017-03-30,655.957
2017-03-31,655.957
2017-04-03,655.957
2017-04-04,655.957
2017-04-05,655.957
2017-04-06,655.957
2017-04-07,655.957
2017-04-10,655.957
2017-04-11,655.957
2017-04-12,655.957
2017-04-13,655.957
2017-04-14,655.957
2017-04-17,655.957
2017-04-18,655.957
2017-04-19,655.957
2017-04-20,655.957
2017-04-21,655.957
2017-04-24,655.957
2017-04-25,655.957
2017-04-26,655.957
2017-04-27,655.957
2017-04-28,655.957
2017-05-01,655.957
2017-05-02,655.957
2017-05-03,655.957
2017-05-04,655.957
2017-05-05,655.957
2017-05-08,655.957
2017-05-09,655.957
2017-05-10,655.957
2017-05-11,655.957
2017-05-12,655.957
2017-05-15,655.957
2017-05-16,655.957
2017-05-17,655.957
2017-05-18,655.957
2017-05-19,655.957
2017-05-22,655.957
2017-05-23,655.957
2017-05-24,655.957
2017-05-25,655.957
2017-05-26,655.957
2017-05-29,655.957
2017-05-30,655.957
2017-05-31,655.957
2017-06-01,655.957
2017-06-02,655.957
2017-06-05,655.957
2017-06-06,655.957
2017-06-07,655.957
2017-06-08,655.957
2017-06-09,655.957
2017-06-12,655.957
2017-06-13,655.957
2017-06-14,655.957
2017-06-15,655.957
2017-06-16,655.957
2017-06-19,655.957
2017-06-20,655.957
2017-06-21,655.957
2017-06-22,655.957
2017-06-23,655.957
2017-06-26,655.957
2017-06-27,655.957
2017-06-28,655.957
2017-06-29,655.957
2017-06-30,655.957
2017-07-03,655.957
2017-07-04,655.957
2017-07-05,655.957
2017-07-06,655.957
2017-07-07,655.957
2017-07-10,655.957
2017-07-11,655.957
2017-07-12,655.957
2017-07-13,655.957
2017-07-14,655.957
2017-07-17,655.957
2017-07-18,655.957
2017-07-19,655.957
2017-07-20,655.957
2017-07-21,655.957
2017-07-24,655.957
2017-07-25,655.957
2017-07-26,655.957
2017-07-27,655.957
2017-07-28,655.957
2017-07-31,655.957
2017-08-01,655.957
2017-08-02,655.957
2017-08-03,655.957
2017-08-04,655.957
2017-08-07,655.957
2017-08-08,655.957
2017-08-09,655.957
2017-08-10,655.957
2017-08-11,655.957
2017-08-14,655.957
2017-08-15,655.957
2017-08-16,655.957
2017-08-17,655.957
2017-08-18,655.957
2017-08-21,655.957
2017-08-22,655.957
2017-08-23,655.957
2017-08-24,655.957
2017-08-25,655.957
2017-08-28,655.957
2017-08-29,655.957
2017-08-30,655.957
2017-08-31,655.957
2017-09-01,655.957
2017-09-04,655.957
2017-09-05,655.957
2017-09-06,655.957
2017-09-07,655.957
2017-09-08,655.957
2017-09-11,655.957
2017-09-12,655.957
2017-09-13,655.957
2017-09-14,655.957
2017-09-15,655.957
2017-09-18,655.957
2017-09-19,655.957
2017-09-20,655.957
2017-09-21,655.957
2017-09-22,655.957
2017-09-25,655.957
2017-09-26,655.957
2017-09-27,655.957
2017-09-28,655.957
2017-09-29,655.957
2017-10-02,655.957
2017-10-03,655.957
2017-10-04,655.957
2017-10-05,655.957
2017-10-06,655.957
2017-10-09,655.957
2017-10-10,655.957
2017-10-11,655.957
2017-10-12,655.957
2017-10-13,655.957
2017-10-16,655.957
2017-10-17,655.957
2017-10-18,655.957
2017-10-19,655.957
2017-10-20,655.957
2017-10-23,655.957
2017-10-24,655.957
2017-10-25,655.957
2017-10-26,655.957
2017-10-27,655.957
2017-10-30,655.957
2017-10-31,655.957
2017-11-01,655.957
2017-11-02,655.957
2017-11-03,655.957
2017-11-06,655.957
2017-11-07,655.957
2017-11-08,655.957
2017-11-09,655.957
2017-11-10,655.957
2017-11-13,655.957
2017-11-14,655.957
2017-11-15,655.957
2017-11-16,655.957
2017-11-17,655.957
2017-11-20,655.957
2017-11-21,655.957
2017-11-22,655.957
2017-11-23,655.957
2017-11-24,655.957
2017-11-27,655.957
2017-11-28,655.957
2017-11-29,655.957
2017-11-30,655.957
2017-12-01,655.957
2017-12-04,655.957
2017-12-05,655.957
2017-12-06,655.957
2017-12-07,655.957
2017-12-08,655.957
2017-12-11,655.957
2017-12-12,655.957
2017-12-13,655.957
2017-12-14,655.957
2017-12-15,655.957
2017-12-18,655.957
2017-12-19,655.957
2017-12-20,655.957
2017-12-21,655.957
2017-12-22,655.957
2017-12-25,655.957
2017-12-26,655.957
2017-12-27,655.957
2017-12-28,655.957
2017-12-29,655.957
2018-01-01,655.957
2018-01-02,655.957
2018-01-03,655.957
2018-01-04,655.957
2018-01-05,655.957
2018-01-08,655.957
2018-01-09,655.957
2018-01-10,655.957
2018-01-11,655.957
2018-01-12,655.957
2018-01-15,655.957
2018-01-16,655.957
2018-01-17,655.957
2018-01-18,655.957
2018-01-19,655.957
2018-01-22,655.957
2018-01-23,655.957
2018-01-24,655.957
2018-01-25,655.957
2018-01-26,655.957
2018-01-29,655.957
2018-01-30,655.957
2018-01-31,655.957
2018-02-01,655.957
2018-02-02,655.957
2018-02-05,655.957
2018-02-06,655.957
2018-02-07,655.957
2018-02-08,655.957
2018-02-09,655.957
2018-02-12,655.957
2018-02-13,655.957
2018-02-14,655.957
2018-02-15,655.957
2018-02-16,655.957
2018-02-19,655.957
2018-02-20,655.957
2018-02-21,655.957
2018-02-22,655.957
2018-02-23,655.957
2018-02-26,655.957
2018-02-27,655.957
2018-02-28,655.957
2018-03-01,655.957
2018-03-02,655.957
2018-03-05,655.957
2018-03-06,655.957
2018-03-07,655.957
2018-03-08,655.957
2018-03-09,655.957
2018-03-12,655.957
2018-03-13,655.957
2018-03-14,655.957
2018-03-15,655.957
2018-03-16,655.957
2018-03-19,655.957
2018-03-20,655.957
2018-03-21,655.957
2018-03-22,655.957
2018-03-23,655.957
2018-03-26,655.957
2018-03-27,655.957
2018-03-28,655.957
2018-03-29,655.957
2018-03-30,655.957
2018-04-02,655.957
2018-04-03,655.957
2018-04-04,655.957
2018-04-05,655.957
2018-04-06,655.957
2018-04-09,655.957
2018-04-10,655.957
2018-04-11,655.957
2018-04-12,655.957
2018-04-13,655.957
2018-04-16,655.957
2018-04-17,655.957
2018-04-18,655.957
2018-04-19,655.957
2018-04-20,655.957
2018-04-23,655.957
2018-04-24,655.957
2018-04-25,655.957
2018-04-26,655.957
2018-04-27,655.957
2018-04-30,655.957
2018-05-01,655.957
2018-05-02,655.957
2018-05-03,655.957
2018-05-04,655.957
2018-05-07,655.957
2018-05-08,655.957
2018-05-09,655.957
2018-05-10,655.957
2018-05-11,655.957
2018-05-14,655.957
2018-05-15,655.957
2018-05-16,655.957
2018-05-17,655.957
2018-05-18,655.957
2018-05-21,655.957
2018-05-22,655.957
2018-05-23,655.957
2018-05-24,655.957
2018-05-25,655.957
2018-05-28,655.957
2018-05-29,655.957
2018-05-30,655.957
2018-05-31,655.957
2018-06-01,655.957
2018-06-04,655.957
2018-06-05,655.957
2018-06-06,655.957
2018-06-07,655.957
2018-06-08,655.957
2018-06-11,655.957
2018-06-12,655.957
2018-06-13,655.957
2018-06-14,655.957
2018-06-15,655.957
2018-06-18,655.957
2018-06-19,655.957
2018-06-20,655.957
2018-06-21,655.957
2018-06-22,655.957
2018-06-26,655.957
2018-06-28,655.957
2018-06-29,655.957
2018-07-02,655.957
2018-07-03,655.957
2018-07-04,655.957
2018-07-05,655.957
2018-07-06,655.957
2018-07-09,655.957
2018-07-10,655.957
2018-07-11,655.957
2018-07-12,655.957
2018-07-13,655.957
2018-07-16,655.957
2018-07-17,655.957
2018-07-18,655.957
2018-07-19,655.957
2018-07-20,655.957
2018-07-23,655.957
2018-07-24,655.957
2018-07-25,655.957
2018-07-26,655.957
2018-07-27,655.957
2018-07-30,655.957
2018-07-31,655.957
2018-08-01,655.957
2018-08-02,655.957
2018-08-03,655.957
2018-08-06,655.957
2018-08-07,655.957
2018-08-08,655.957
2018-08-09,655.957
2018-08-10,655.957
2018-08-13,655.957
2018-08-14,655.957
2018-08-15,655.957
2018-08-16,655.957
2018-08-17,655.957
2018-08-20,655.957
2018-08-21,655.957
2018-08-22,655.957
2018-08-23,655.957
2018-08-24,655.957
2018-08-27,655.957
2018-08-28,655.957
2018-08-29,655.957
2018-08-30,655.957
2018-08-31,655.957
2018-09-03,655.957
2018-09-04,655.957
2018-09-05,655.957
2018-09-06,655.957
2018-09-07,655.957
2018-09-10,655.957
2018-09-11,655.957
2018-09-12,655.957
2018-09-13,655.957
2018-09-14,655.957
2018-09-17,655.957
2018-09-18,655.957
2018-09-19,655.957
2018-09-20,655.957
2018-09-21,655.957
2018-09-24,655.957
2018-09-25,655.957
2018-09-26,655.957
2018-09-27,655.957
2018-09-28,655.957
2018-10-01,655.957
2018-10-02,655.957
2018-10-03,655.957
2018-10-04,655.957
2018-10-05,655.957
2018-10-08,655.957
2018-10-09,655.957
2018-10-10,655.957
2018-10-11,655.957
2018-10-12,655.957
2018-10-15,655.957
2018-10-16,655.957
2018-10-17,655.957
2018-10-18,655.957
2018-10-19,655.957
2018-10-22,655.957
2018-10-23,655.957
2018-10-24,655.957
2018-10-25,655.957
2018-10-26,655.957
2018-10-29,655.957
2018-10-30,655.957
2018-10-31,655.957
2018-11-01,655.957
2018-11-02,655.957
2018-11-05,655.957
2018-11-06,655.957
2018-11-07,655.957
2018-11-08,655.957
2018-11-09,655.957
2018-11-12,655.957
2018-11-13,655.957
2018-11-14,655.957
2018-11-15,655.957
2018-11-16,655.957
2018-11-19,655.957
2018-11-20,655.957
2018-11-21,655.957
2018-11-22,655.957
2018-11-23,655.957
2018-11-26,655.957
2018-11-27,655.957
2018-11-28,655.957
2018-11-29,655.957
2018-11-30,655.957
2018-12-03,655.957
2018-12-04,655.957
2018-12-05,655.957
2018-12-06,655.957
2018-12-07,655.957
2018-12-10,655.957
2018-12-11,655.957
2018-12-12,655.957
2018-12-13,655.957
2018-12-14,655.957
2018-12-17,655.957
2018-12-18,655.957
2018-12-19,655.957
2018-12-20,655.957
2018-12-21,655.957
2018-12-24,655.957
2018-12-25,655.957
2018-12-26,655.957
2018-12-27,655.957
2018-12-28,655.957
2018-12-31,655.957
2019-01-01,655.957
2019-01-02,655.957
2019-01-03,655.957
2019-01-04,655.957
2019-01-07,655.957
2019-01-08,655.957
2019-01-09,655.957
2019-01-10,655.957
2019-01-11,655.957
2019-01-14,655.957
2019-01-15,655.957
2019-01-16,655.957
2019-01-17,655.957
2019-01-18,655.957
2019-01-21,655.957
2019-01-22,655.957
2019-01-23,655.957
2019-01-24,655.957
2019-01-25,655.957
2019-01-28,655.957
2019-01-29,655.957
2019-01-30,655.957
2019-01-31,655.957
2019-02-01,655.957
2019-02-04,655.957
2019-02-05,655.957
2019-02-06,655.957
2019-02-07,655.957
2019-02-08,655.957
2019-02-11,655.957
2019-02-12,655.957
2019-02-13,655.957
2019-02-14,655.957
2019-02-15,655.957
2019-02-18,655.957
2019-02-19,655.957
2019-02-20,655.957
2019-02-21,655.957
2019-02-22,655.957
2019-02-25,655.957
2019-02-26,655.957
2019-02-27,655.957
2019-02-28,655.957
2019-03-01,655.957
2019-03-04,655.957
2019-03-05,655.957
2019-03-06,655.957
2019-03-07,655.957
2019-03-08,655.957
2019-03-11,655.957
2019-03-12,655.957
2019-03-13,655.957
2019-03-14,655.957
2019-03-15,655.957
2019-03-18,655.957
2019-03-19,655.957
2019-03-20,655.957
2019-03-21,655.957
2019-03-22,655.957
2019-03-25,655.957
2019-03-26,655.957
2019-03-27,655.957
2019-03-28,655.957
2019-03-29,655.957
2019-04-01,655.957
2019-04-02,655.957
2019-04-03,655.957
2019-04-04,655.957
2019-04-05,655.957
2019-04-08,655.957
2019-04-09,655.957
2019-04-10,655.957
2019-04-11,655.957
2019-04-12,655.957
2019-04-15,655.957
2019-04-16,655.957
2019-04-17,655.957
2019-04-18,655.957
2019-04-19,655.957
2019-04-22,655.957
2019-04-23,655.957
2019-04-24,655.957
2019-04-25,655.957
2019-04-26,655.957
2019-04-29,655.957
2019-04-30,655.957
2019-05-01,655.957
2019-05-02,655.957
2019-05-03,655.957
2019-05-06,655.957
2019-05-07,655.957
2019-05-08,655.957
2019-05-09,655.957
2019-05-10,655.957
2019-05-13,655.957
2019-05-14,655.957
2019-05-15,655.957
2019-05-16,655.957
2019-05-17,655.957
2019-05-20,655.957
2019-05-21,655.957
2019-05-22,655.957
2019-05-23,655.957
2019-05-24,655.957
2019-05-27,655.957
2019-05-28,655.957
2019-05-29,655.957
2019-05-30,655.957
2019-05-31,655.957
2019-06-03,655.957
2019-06-04,655.957
2019-06-05,655.957
2019-06-06,655.957
2019-06-07,655.957
2019-06-10,655.957
2019-06-11,655.957
2019-06-12,655.957
2019-06-13,655.957
2019-06-14,655.957
2019-06-17,655.957
2019-06-18,655.957
2019-06-19,655.957
2019-06-20,655.957
2019-06-21,655.957
2019-06-24,655.957
2019-06-25,655.957
2019-06-26,655.957
2019-06-27,655.957
2019-06-28,655.957
2019-07-01,655.957
2019-07-02,655.957
2019-07-03,655.957
2019-07-04,655.957
2019-07-05,655.957
2019-07-08,655.957
2019-07-09,655.957
2019-07-10,655.957
2019-07-11,655.957
2019-07-12,655.957
2019-07-15,655.957
2019-07-16,655.957
2019-07-17,655.957
2019-07-18,655.957
2019-07-19,655.957
2019-07-22,655.957
2019-07-23,655.957
2019-07-24,655.957
2019-07-25,655.957
2019-07-26,655.957
2019-07-29,655.957
2019-07-30,655.957
2019-07-31,655.957
2019-08-01,655.957
2019-08-02,655.957
2019-08-05,655.957
2019-08-06,655.957
2019-08-07,655.957
2019-08-08,655.957
2019-08-09,655.957
2019-08-12,655.957
2019-08-13,655.957
2019-08-14,655.957
2019-08-15,655.957
2019-08-16,655.957
2019-08-19,655.957
2019-08-20,655.957
2019-08-21,655.957
2019-08-22,655.957
2019-08-23,655.957
2019-08-26,655.957
2019-08-27,655.957
2019-08-28,655.957
2019-08-29,655.957
2019-08-30,655.957
2019-09-02,655.957
2019-09-03,655.957
2019-09-04,655.957
2019-09-05,655.957
2019-09-06,655.957
2019-09-09,655.957
2019-09-10,655.957
2019-09-11,655.957
2019-09-12,655.957
2019-09-13,655.957
2019-09-16,655.957
2019-09-17,655.957
2019-09-18,655.957
2019-09-19,655.957
2019-09-20,655.957
2019-09-23,655.957
2019-09-24,655.957
2019-09-25,655.957
2019-09-26,655.957
2019-09-27,655.957
2019-09-30,655.957
2019-10-01,655.957
2019-10-02,655.957
2019-10-03,655.957
2019-10-04,655.957
2019-10-07,655.957
2019-10-08,655.957
2019-10-09,655.957
2019-10-10,655.957
2019-10-11,655.957
2019-10-14,655.957
